"통학시간","n","mean","sd","min","Q1","median","Q3","max","percZero"
"30분 이하",6,29.1666667,20.2415963,0,18.75,29.1666667,39.5833333,58.3333333,16.6666667
"30분 ~ 1시간",19,37.2807018,21.4030294,0,25,41.6666667,45.8333333,75,10.5263158
"1시간 ~ 1시간 30분",60,32.6388889,19.3035316,0,25,33.3333333,41.6666667,100,11.6666667
"2시간 이상",26,33.6538462,16.4115084,0,25,33.3333333,41.6666667,75,3.8461538
"30분 이하",6,50.8333333,16.5579789,25,46.25,50,57.5,75,4
"30분 ~ 1시간",19,61.5789474,19.4402669,25,50,65,72.5,95,3
"1시간 ~ 1시간 30분",60,57.9166667,19.3165352,15,40,55,70,100,1
"2시간 이상",26,52.5,21.1305466,10,35,52.5,67.5,95,2
"30분 이하",6,40,15.3478192,12.5,35.625,44.1666667,50.2083333,54.1666667,4
"30분 ~ 1시간",19,49.4298246,16.8303367,12.5,41.25,49.1666667,60,85,3
"1시간 ~ 1시간 30분",60,45.2777778,15.6870785,12.5,35.625,44.5833333,54.1666667,85,1
"2시간 이상",26,43.0769231,16.156817,9.1666667,30.2083333,45.4166667,53.5416667,68.3333333,2
"30분 이하",6,20.8333333,29.2261299,0,0,12.5,25,75,50
"30분 ~ 1시간",19,26.3157895,30.5887645,0,0,25,37.5,100,42.1052632
"1시간 ~ 1시간 30분",60,13.75,22.2776204,0,0,0,25,100,63.3333333
"2시간 이상",26,20.1923077,21.235855,0,0,25,25,75,38.4615385
"30분 이하",6,20.8333333,18.8193163,0,6.25,25,25,50,33.3333333
"30분 ~ 1시간",19,39.4736842,30.4090053,0,12.5,50,50,100,26.3157895
"1시간 ~ 1시간 30분",60,25,29.4727682,0,0,25,50,100,46.6666667
"2시간 이상",26,20.1923077,23.4725699,0,0,12.5,43.75,75,50
"30분 이하",6,45.8333333,36.7990036,0,12.5,62.5,75,75,33.3333333
"30분 ~ 1시간",19,46.0526316,25.3628637,0,25,50,50,100,10.5263158
"1시간 ~ 1시간 30분",60,59.1666667,33.1811498,0,50,50,100,100,13.3333333
"2시간 이상",26,60.5769231,30.1438857,0,50,62.5,75,100,11.5384615
"30분 이하",6,54.1666667,18.8193163,25,50,50,68.75,75,0
"30분 ~ 1시간",19,63.1578947,31.5880835,0,50,75,87.5,100,10.5263158
"1시간 ~ 1시간 30분",60,63.3333333,25.4063029,0,50,75,75,100,3.3333333
"2시간 이상",26,55.7692308,25.7950502,0,50,50,75,100,3.8461538
"30분 이하",6,45.8333333,24.579802,25,25,37.5,68.75,75,0
"30분 ~ 1시간",19,56.5789474,31.0041499,0,50,50,75,100,10.5263158
"1시간 ~ 1시간 30분",60,59.1666667,27.6044498,0,50,50,75,100,5
"2시간 이상",26,54.8076923,30.0160214,0,25,62.5,75,100,7.6923077
"30분 이하",6,54.1666667,18.8193163,25,50,50,68.75,75,0
"30분 ~ 1시간",19,67.1052632,18.7317162,25,50,75,75,100,0
"1시간 ~ 1시간 30분",60,53.75,31.1587651,0,50,50,75,100,15
"2시간 이상",26,44.2307692,31.8651003,0,25,50,68.75,100,19.2307692
"30분 이하",6,70.8333333,24.579802,25,75,75,75,100,0
"30분 ~ 1시간",19,71.0526316,22.4585388,25,62.5,75,75,100,0
"1시간 ~ 1시간 30분",60,73.3333333,23.4098825,25,50,75,100,100,0
"2시간 이상",26,67.3076923,28.9562003,0,50,75,75,100,7.6923077
"30분 이하",6,29.1666667,24.579802,0,25,25,25,75,16.6666667
"30분 ~ 1시간",19,50,30.0462606,0,25,50,75,100,10.5263158
"1시간 ~ 1시간 30분",60,40,30.253169,0,25,50,50,100,21.6666667
"2시간 이상",26,40.3846154,36.1088099,0,0,37.5,68.75,100,30.7692308
