"통학횟수","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1일",1,58.3333333,NA,58.3333333,58.3333333,58.3333333,58.3333333,58.3333333,0
"3일",24,31.5972222,17.1979044,0,16.6666667,33.3333333,41.6666667,75,8.3333333
"4일",57,35.0877193,21.2305491,0,16.6666667,33.3333333,41.6666667,100,8.7719298
"5일 이상",29,31.0344828,15.0884548,0,25,33.3333333,41.6666667,58.3333333,13.7931034
"1일",1,95,NA,95,95,95,95,95,1
"3일",24,53.9583333,21.5173927,15,38.75,50,70,100,2
"4일",57,56.5789474,20.4450023,10,40,55,75,95,3
"5일 이상",29,58.6206897,15.5205251,30,50,60,70,85,4
"1일",1,76.6666667,NA,76.6666667,76.6666667,76.6666667,76.6666667,76.6666667,1
"3일",24,42.7777778,12.7822403,20.8333333,33.9583333,40.8333333,50.2083333,67.5,2
"4일",57,45.8333333,18.2879579,9.1666667,32.5,44.1666667,59.1666667,85,3
"5일 이상",29,44.8275862,12.3871479,15,38.3333333,46.6666667,53.3333333,63.3333333,4
"1일",1,25,NA,25,25,25,25,25,0
"3일",24,15.625,20.6056398,0,0,0,25,75,54.1666667
"4일",57,21.0526316,27.8666602,0,0,0,25,100,50.877193
"5일 이상",29,12.9310345,18.4447651,0,0,0,25,75,58.6206897
"1일",1,50,NA,50,50,50,50,50,0
"3일",24,29.1666667,28.2329851,0,0,25,50,75,41.6666667
"4일",57,28.5087719,30.0440883,0,0,25,50,100,38.5964912
"5일 이상",29,18.1034483,23.9945601,0,0,0,25,75,55.1724138
"1일",1,100,NA,100,100,100,100,100,0
"3일",24,50,30.3959379,0,50,50,75,100,20.8333333
"4일",57,55.7017544,30.2583902,0,50,50,75,100,10.5263158
"5일 이상",29,62.0689655,34.4735209,0,50,75,100,100,13.7931034
"1일",1,100,NA,100,100,100,100,100,0
"3일",24,60.4166667,27.5016469,0,50,50,75,100,4.1666667
"4일",57,59.6491228,26.6233593,0,50,50,75,100,5.2631579
"5일 이상",29,62.9310345,24.659004500000002,0,50,50,75,100,3.4482759
"1일",1,100,NA,100,100,100,100,100,0
"3일",24,57.2916667,26.0425724,0,50,50,75,100,4.1666667
"4일",57,53.5087719,29.670285,0,25,50,75,100,8.7719298
"5일 이상",29,62.0689655,27.2395865,0,50,75,75,100,3.4482759
"1일",1,100,NA,100,100,100,100,100,0
"3일",24,44.7916667,32.9518478,0,18.75,50,56.25,100,25
"4일",57,55.7017544,29.1308409,0,50,50,75,100,8.7719298
"5일 이상",29,56.0344828,26.4365585,0,50,50,75,100,10.3448276
"1일",1,100,NA,100,100,100,100,100,0
"3일",24,61.4583333,29.4691868,0,50,62.5,75,100,8.3333333
"4일",57,74.122807,23.6061964,25,50,75,100,100,0
"5일 이상",29,73.2758621,19.9676462,25,75,75,75,100,0
"1일",1,75,NA,75,75,75,75,75,0
"3일",24,45.8333333,33.5140031,0,25,50,75,100,16.6666667
"4일",57,39.9122807,32.3415261,0,25,25,50,100,24.5614035
"5일 이상",29,38.7931034,28.0196096,0,25,50,50,100,20.6896552
