"이용횟수","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1회 ~ 2회",25,33,19.3170429,0,16.6666667,33.3333333,41.6666667,75,8
"3회 ~ 4회",41,36.3821138,19.5217202,0,25,33.3333333,41.6666667,100,4.8780488
"5회 이상",45,31.1111111,18.2401212,0,25,33.3333333,41.6666667,75,15.5555556
"1회 ~ 2회",25,45.4,15.6737573,10,35,45,60,70,1
"3회 ~ 4회",41,60.7317073,20.6930235,15,50,60,75,100,2
"5회 이상",45,59.7777778,18.6155957,25,50,60,75,95,3
"1회 ~ 2회",25,39.2,16.2526351,9.1666667,30,41.6666667,50,68.3333333,1
"3회 ~ 4회",41,48.5569106,15.2457011,24.1666667,38.3333333,46.6666667,58.3333333,85,2
"5회 이상",45,45.4444444,15.7680072,12.5,35.8333333,47.5,55.8333333,68.3333333,3
"1회 ~ 2회",25,17,27.6887462,0,0,0,25,100,64
"3회 ~ 4회",41,22.5609756,25.498087,0,0,25,25,100,39.0243902
"5회 이상",45,13.8888889,20.3349478,0,0,0,25,75,60
"1회 ~ 2회",25,35,30.6186218,0,0,50,50,100,32
"3회 ~ 4회",41,28.0487805,28.611144,0,0,25,50,100,36.5853659
"5회 이상",45,19.4444444,25.5000495,0,0,0,25,75,55.5555556
"1회 ~ 2회",25,47,32.5320355,0,25,50,75,100,16
"3회 ~ 4회",41,58.5365854,25.9866288,0,50,50,75,100,7.3170732
"5회 이상",45,60,35.1134525,0,50,75,100,100,17.7777778
"1회 ~ 2회",25,44,25.2899848,0,25,50,50,100,12
"3회 ~ 4회",41,64.6341463,24.3513409,0,50,75,75,100,2.4390244
"5회 이상",45,67.2222222,24.898785,0,50,75,75,100,2.2222222
"1회 ~ 2회",25,41,24.8746859,0,25,50,50,100,12
"3회 ~ 4회",41,61.5853659,29.6318879,0,50,50,75,100,4.8780488
"5회 이상",45,61.6666667,26.4360291,0,50,75,75,100,4.4444444
"1회 ~ 2회",25,46,23.5849528,0,25,50,50,75,12
"3회 ~ 4회",41,56.7073171,31.6348257,0,50,50,75,100,14.6341463
"5회 이상",45,55.5555556,30.5670318,0,50,50,75,100,11.1111111
"1회 ~ 2회",25,65,21.6506351,25,50,75,75,100,0
"3회 ~ 4회",41,75.6097561,25.9131994,0,50,75,100,100,2.4390244
"5회 이상",45,71.1111111,24.39935,0,50,75,75,100,2.2222222
"1회 ~ 2회",25,31,26.2995564,0,0,25,50,75,28
"3회 ~ 4회",41,45.1219512,32.7010666,0,25,50,75,100,19.5121951
"5회 이상",45,43.3333333,32.1572839,0,25,50,75,100,20
