"이용시간대","n","mean","sd","min","Q1","median","Q3","max","percZero"
"오전 9시 전",45,30.9259259,16.2468161,0,16.6666667,33.3333333,41.6666667,66.6666667,11.1111111
"오전 10시 ~ 12시",54,35.3395062,20.5999624,0,25,33.3333333,41.6666667,100,9.2592593
"오후 13시 ~ 15시",2,45.8333333,41.2478956,16.6666667,31.25,45.8333333,60.4166667,75,0
"오후 16시 ~ 18시",10,32.5,17.7647522,0,20.8333333,33.3333333,45.8333333,58.3333333,10
"오전 9시 전",45,56.7777778,18.3450376,25,40,55,70,95,2
"오전 10시 ~ 12시",54,57.7777778,21.0046416,10,41.25,60,73.75,100,1
"오후 13시 ~ 15시",2,70,14.1421356,60,65,70,75,80,3
"오후 16시 ~ 18시",10,50,19.1485422,25,36.25,50,66.25,75,4
"오전 9시 전",45,43.8518519,15.2734842,12.5,33.3333333,44.1666667,54.1666667,76.6666667,2
"오전 10시 ~ 12시",54,46.558642,16.673777,9.1666667,36.875,46.6666667,58.3333333,85,1
"오후 13시 ~ 15시",2,57.9166667,13.55288,48.3333333,53.125,57.9166667,62.7083333,67.5,3
"오후 16시 ~ 18시",10,41.25,15.2664099,12.5,36.0416667,43.3333333,53.5416667,60,4
"오전 9시 전",45,16.1111111,20.0535898,0,0,0,25,75,53.3333333
"오전 10시 ~ 12시",54,18.0555556,25.428714,0,0,0,25,100,53.7037037
"오후 13시 ~ 15시",2,62.5,53.0330086,25,43.75,62.5,81.25,100,0
"오후 16시 ~ 18시",10,15,24.1522946,0,0,0,25,75,60
"오전 9시 전",45,21.6666667,26.4360291,0,0,0,50,75,53.3333333
"오전 10시 ~ 12시",54,29.6296296,31.1243982,0,0,25,50,100,38.8888889
"오후 13시 ~ 15시",2,37.5,17.6776695,25,31.25,37.5,43.75,50,0
"오후 16시 ~ 18시",10,25,20.4124145,0,6.25,25,43.75,50,30
"오전 9시 전",45,55,30.895719,0,50,50,75,100,13.3333333
"오전 10시 ~ 12시",54,58.3333333,31.4732591,0,50,50,75,100,11.1111111
"오후 13시 ~ 15시",2,37.5,53.0330086,0,18.75,37.5,56.25,75,50
"오후 16시 ~ 18시",10,57.5,35.4534123,0,50,62.5,75,100,20
"오전 9시 전",45,61.1111111,22.3324287,25,50,50,75,100,0
"오전 10시 ~ 12시",54,61.5740741,29.0221788,0,50,75,75,100,7.4074074
"오후 13시 ~ 15시",2,75,35.3553391,50,62.5,75,87.5,100,0
"오후 16시 ~ 18시",10,55,28.3823106,0,50,50,75,100,10
"오전 9시 전",45,56.1111111,26.1961328,0,25,50,75,100,2.2222222
"오전 10시 ~ 12시",54,57.8703704,30.6471374,0,50,50,75,100,9.2592593
"오후 13시 ~ 15시",2,75,35.3553391,50,62.5,75,87.5,100,0
"오후 16시 ~ 18시",10,52.5,27.5126234,0,31.25,62.5,75,75,10
"오전 9시 전",45,56.1111111,25.6481633,0,50,50,75,100,6.6666667
"오전 10시 ~ 12시",54,51.8518519,32.8848233,0,25,50,75,100,16.6666667
"오후 13시 ~ 15시",2,75,35.3553391,50,62.5,75,87.5,100,0
"오후 16시 ~ 18시",10,50,28.8675135,0,50,50,75,75,20
"오전 9시 전",45,71.6666667,21.051884,25,50,75,75,100,0
"오전 10시 ~ 12시",54,74.0740741,23.7731828,0,56.25,75,100,100,1.8518519
"오후 13시 ~ 15시",2,100,0,100,100,100,100,100,0
"오후 16시 ~ 18시",10,50,33.3333333,0,25,50,75,100,10
"오전 9시 전",45,38.8888889,33.0957442,0,0,25,50,100,26.6666667
"오전 10시 ~ 12시",54,43.5185185,30.4003108,0,25,50,68.75,100,18.5185185
"오후 13시 ~ 15시",2,25,35.3553391,0,12.5,25,37.5,50,50
"오후 16시 ~ 18시",10,42.5,31.2916389,0,25,25,68.75,100,10
