"학과","학년","n","prop"
"신학","1학년",2,66.7
"신학","4학년",1,33.3
"사회복지","1학년",9,37.5
"사회복지","2학년",2,8.3
"사회복지","3학년",9,37.5
"사회복지","4학년",4,16.7
"G2빅데이터경영","1학년",10,32.3
"G2빅데이터경영","2학년",6,19.4
"G2빅데이터경영","3학년",5,16.1
"G2빅데이터경영","4학년",10,32.3
"상담심리","1학년",6,33.3
"상담심리","2학년",2,11.1
"상담심리","3학년",5,27.8
"상담심리","4학년",5,27.8
"간호","1학년",3,17.6
"간호","2학년",4,23.5
"간호","3학년",6,35.3
"간호","4학년",4,23.5
"식품영양","1학년",4,33.3
"식품영양","2학년",1,8.3
"식품영양","3학년",6,50
"식품영양","4학년",1,8.3
"실용음악","1학년",2,33.3
"실용음악","3학년",3,50
"실용음악","4학년",1,16.7
