"학년","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1학년",36,32.6388889,17.7476804,0,25,33.3333333,41.6666667,75,11.1111111
"2학년",15,30,15.6853991,0,25,33.3333333,33.3333333,58.3333333,13.3333333
"3학년",34,31.372549,16.9246229,0,16.6666667,33.3333333,41.6666667,66.6666667,8.8235294
"4학년",26,39.4230769,23.8697498,0,25,37.5,50,100,7.6923077
"1학년",36,54.0277778,17.8813328,25,40,50,70,95,1
"2학년",15,65,13.6277029,30,60,65,72.5,85,2
"3학년",34,62.0588235,22.1604906,10,41.25,67.5,78.75,100,3
"4학년",26,49.4230769,18.8852812,15,35,50,60,95,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1학년",36,16.6666667,21.5472902,0,0,0,25,75,52.7777778
"2학년",15,13.3333333,20.8452347,0,0,0,25,75,60
"3학년",34,16.1764706,21.2153041,0,0,0,25,75,52.9411765
"4학년",26,24.0384615,32.000601,0,0,12.5,25,100,50
"1학년",36,23.6111111,25.3154699,0,0,25,50,75,44.4444444
"2학년",15,13.3333333,18.5805838,0,0,0,25,50,60
"3학년",34,24.2647059,27.1676153,0,0,25,50,100,44.1176471
"4학년",26,39.4230769,34.0390048,0,0,50,50,100,30.7692308
"1학년",36,57.6388889,30.9489467,0,50,50,75,100,13.8888889
"2학년",15,63.3333333,32.5503273,0,50,75,87.5,100,13.3333333
"3학년",34,53.6764706,30.8542228,0,50,50,75,100,11.7647059
"4학년",26,54.8076923,33.9258241,0,25,50,75,100,15.3846154
"1학년",36,56.9444444,22.0479276,0,50,50,75,100,2.7777778
"2학년",15,70,23.5280987,25,50,75,87.5,100,0
"3학년",34,66.9117647,29.3364678,0,50,75,100,100,5.8823529
"4학년",26,53.8461538,27.1037891,0,50,50,75,100,7.6923077
"1학년",36,53.4722222,24.0184288,0,25,50,75,100,2.7777778
"2학년",15,73.3333333,24.0287526,25,50,75,100,100,0
"3학년",34,61.0294118,32.6779374,0,50,62.5,93.75,100,11.7647059
"4학년",26,47.1153846,26.7646437,0,25,50,68.75,100,7.6923077
"1학년",36,52.7777778,27.2408424,0,50,50,75,100,11.1111111
"2학년",15,66.6666667,24.3975018,25,50,50,87.5,100,0
"3학년",34,60.2941176,29.5916956,0,50,75,75,100,8.8235294
"4학년",26,39.4230769,30.9621357,0,6.25,50,50,100,26.9230769
"1학년",36,70.1388889,25.2271427,0,50,75,100,100,2.7777778
"2학년",15,76.6666667,24.0287526,25,62.5,75,100,100,0
"3학년",34,76.4705882,21.2677524,25,75,75,100,100,0
"4학년",26,63.4615385,26.6746783,0,50,75,75,100,3.8461538
"1학년",36,36.8055556,31.3312436,0,18.75,25,50,100,25
"2학년",15,38.3333333,28.1365717,0,25,50,50,100,20
"3학년",34,45.5882353,35.0705934,0,25,50,75,100,23.5294118
"4학년",26,43.2692308,28.7729841,0,25,50,75,100,15.3846154
