No,학부,학년,성별,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
1,5,4,2,4,3,4,3,5,3,3,3,3,2,4,4,4,4,4,4,5,5,3,4,2,2,2,2,2
2,4,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,1,1,1
3,4,4,2,4,3,3,3,2,6,6,6,4,4,4,6,3,4,3,3,5,3,2,2,3,3,3,2,2
4,4,2,2,7,7,6,6,7,6,6,5,5,6,5,5,6,5,6,5,7,6,5,4,4,3,4,3,4
5,4,3,2,7,7,7,7,7,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,2,2
6,4,3,2,6,6,5,4,3,3,3,3,2,2,1,3,1,4,5,2,4,3,3,4,1,2,1,1,1
7,4,4,2,5,6,3,4,3,5,3,4,1,1,4,4,3,5,5,1,2,3,3,1,2,2,1,3,3
8,4,2,1,7,7,7,7,4,7,7,7,7,7,5,5,5,6,6,5,5,5,5,6,1,1,1,1,1
9,3,4,2,4,4,3,4,5,5,2,3,1,1,4,4,3,2,3,3,4,4,3,3,2,2,1,3,1
10,4,2,2,6,6,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,5,5,5,3,4,3,3,4
11,5,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,6,7,7,6
12,3,4,2,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,6,5,5,5,6,5,5,4,4,4
13,1,4,2,4,5,3,3,3,3,5,4,2,2,2,2,2,4,6,2,4,4,4,4,2,1,1,1,1
14,2,2,2,5,5,6,6,5,4,3,3,3,4,4,3,4,3,4,6,5,5,5,5,4,4,3,3,3
15,2,2,2,6,6,7,6,5,4,4,4,4,4,3,4,4,4,4,4,2,4,4,5,5,5,6,4,4
16,5,2,1,7,7,7,7,7,7,2,7,5,4,7,7,7,7,7,7,7,7,7,4,7,7,7,7,4
17,3,3,2,5,4,6,4,6,4,4,2,3,5,4,5,5,3,6,5,2,5,5,5,5,4,3,4,4
18,2,4,2,3,4,6,6,6,5,6,5,4,5,5,4,4,6,4,5,4,6,5,2,7,5,2,4,1
19,5,4,2,4,4,5,3,7,2,3,3,3,2,6,5,6,7,7,4,4,3,4,3,5,1,1,1,1
20,1,4,2,4,5,3,5,4,6,2,5,4,5,3,4,3,3,4,3,4,3,4,3,3,2,1,1,1
21,1,1,1,5,5,4,6,5,5,5,6,4,5,4,4,4,4,5,4,5,4,5,5,4,5,4,5,4
22,1,1,1,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3
24,3,2,2,6,7,5,7,5,6,6,7,5,7,2,2,3,3,1,2,2,2,3,3,1,1,1,1,1
25,3,3,2,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5
26,2,3,2,4,4,4,3,5,4,3,3,5,3,3,3,4,2,5,3,4,3,3,3,3,4,5,3,3
27,1,3,2,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,5,4,4,4,4,4
28,5,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1
29,2,2,2,1,1,3,1,3,2,1,3,2,2,1,3,2,4,6,2,5,2,4,4,1,2,1,2,1
30,5,3,2,6,6,5,5,4,5,5,5,5,3,4,5,2,4,5,4,5,5,4,3,3,4,2,3,2
31,5,3,2,6,6,5,5,4,5,5,5,5,3,4,5,2,4,5,4,5,5,4,3,3,4,2,3,2
32,3,2,2,5,5,5,5,4,2,2,3,4,4,2,3,3,5,3,6,5,6,6,3,3,3,2,2,2
33,2,2,1,7,6,7,6,6,7,6,6,5,6,7,6,6,6,7,6,5,6,6,6,4,4,3,4,3
34,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,1
36,2,4,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,1,1,1,1,1
37,3,2,2,1,1,1,2,1,3,3,1,3,2,2,4,2,6,6,4,2,2,6,7,1,1,1,1,1
38,2,3,2,7,7,7,7,7,6,5,5,5,6,6,7,7,6,6,4,4,4,4,4,7,5,5,5,5
39,2,4,2,4,4,4,4,6,4,5,5,5,3,6,5,5,6,6,6,5,6,5,4,4,4,3,3,2
40,1,1,2,4,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,2,3,2,5,5,4,4,4,2,2,2,2,2,1,2,2,2,3,5,4,4,4,4,2,2,1,1,1
42,4,1,2,3,1,1,2,4,4,1,4,2,3,1,2,2,3,4,1,4,3,3,5,1,1,1,1,1
43,1,2,2,6,5,7,7,6,6,5,7,6,7,5,4,5,6,5,7,6,6,5,4,6,6,6,6,6
44,5,2,1,7,7,5,6,6,2,4,3,2,2,3,4,3,7,7,3,5,7,7,7,4,1,2,1,1
45,1,3,1,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6
46,1,3,1,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6
47,5,2,1,5,5,5,5,5,6,4,4,4,3,4,4,4,5,5,3,6,4,4,1,4,4,7,4,4
48,4,1,2,6,6,4,5,4,6,6,3,4,3,6,5,4,4,5,2,4,4,4,4,3,3,7,3,2
49,1,4,2,4,5,4,4,6,5,5,4,4,4,4,4,4,4,4,4,6,4,4,4,3,3,1,3,2
50,3,1,2,6,7,5,6,5,5,3,4,4,3,3,3,3,5,6,5,5,6,6,5,1,1,2,2,2
52,1,2,2,6,5,5,5,6,5,6,5,4,4,4,5,5,6,5,3,5,6,6,6,7,6,5,5,7
53,1,2,2,6,7,6,6,6,5,5,4,4,4,5,5,5,6,6,4,6,5,6,6,6,6,4,5,5
54,3,1,2,6,5,6,7,6,6,7,7,7,5,7,7,6,5,6,5,7,6,7,7,6,7,6,6,5
