No,학생,성별,학과,학년,A1,A2,A3,B1,B2,B3,B4,B5,C1,C2,D1,D2,D3
1,1,2,5,2,1,2,4,4,4,4,4,4,4,5,3,4,1
2,1,2,4,1,1,3,5,4,4,4,4,3,3,5,1,4,2
3,1,1,1,1,1,3,1,3,2,4,4,2,1,3,1,1,1
4,1,1,3,1,4,2,4,3,2,3,5,1,1,5,1,4,1
5,1,1,2,2,2,1,3,3,3,2,5,3,4,4,2,2,3
6,1,2,1,4,1,1,5,4,2,1,4,4,3,5,2,2,1
7,1,1,3,4,5,3,4,3,3,3,5,3,2,4,1,3,1
8,1,2,6,3,1,3,3,4,4,4,4,4,3,4,3,2,1
9,1,2,5,2,1,1,5,5,5,3,5,1,3,5,3,2,1
10,1,2,2,4,1,1,3,3,2,2,4,1,4,4,1,1,3
11,1,2,5,3,2,2,3,4,4,4,4,4,1,5,3,4,1
12,1,1,5,4,2,4,2,3,3,4,4,4,2,5,1,1,1
13,1,2,6,3,2,3,3,5,5,5,4,3,2,5,3,1,1
14,1,2,5,1,2,1,5,4,5,5,5,5,4,4,2,1,1
15,1,2,6,4,3,3,3,3,3,1,3,3,3,3,1,1,1
16,1,1,2,3,3,3,3,4,4,4,4,4,3,4,2,2,2
17,1,2,2,3,1,2,3,3,3,3,3,3,3,5,3,2,3
18,1,2,4,4,1,3,2,3,2,3,3,2,3,4,3,2,2
19,1,2,4,3,2,2,1,5,5,5,5,1,3,4,2,3,2
20,1,2,5,3,1,1,1,5,1,3,5,1,4,4,3,1,3
21,1,2,5,3,2,2,3,5,5,5,5,2,3,4,2,2,2
22,1,2,5,3,1,5,5,3,3,4,5,4,3,4,1,2,1
23,1,2,3,2,1,1,3,3,4,3,4,2,3,3,3,4,1
24,1,2,3,2,1,2,3,4,3,4,3,5,4,3,3,2,1
25,1,2,3,3,4,2,2,5,2,4,5,5,2,4,2,1,1
26,1,2,3,1,1,2,4,2,2,3,3,2,3,4,2,1,3
27,1,2,5,3,1,1,2,1,1,2,2,1,4,4,1,2,3
28,1,2,2,3,2,4,3,2,3,2,4,1,2,4,2,2,1
29,1,2,4,1,2,4,3,4,4,3,3,5,3,3,2,1,1
30,1,1,3,3,1,1,1,5,5,5,5,5,3,3,2,2,1
31,1,1,4,3,2,1,3,2,2,3,3,2,4,3,1,2,1
32,1,1,3,1,1,1,5,3,4,4,4,1,3,5,3,1,3
33,1,1,3,4,1,1,4,3,2,3,2,1,4,3,2,1,3
34,1,2,5,2,1,1,5,3,3,5,3,3,3,5,3,2,1
35,1,2,3,1,2,3,3,2,2,1,5,2,4,5,2,1,1
36,1,2,2,1,2,2,3,3,4,4,5,1,4,4,2,1,1
37,1,2,6,1,3,3,2,4,3,3,4,4,3,4,1,1,1
38,1,2,4,1,1,1,3,2,2,2,4,1,4,4,1,1,1
39,1,1,4,1,1,1,5,5,3,5,5,2,3,4,3,1,1
40,1,1,2,2,1,1,1,2,2,3,2,2,3,5,3,1,1
41,1,2,7,4,1,3,1,2,4,1,4,3,4,3,1,2,3
42,1,2,7,3,2,3,3,2,1,3,4,3,3,4,2,2,3
43,1,2,5,1,2,2,4,4,4,3,5,3,3,4,2,1,1
44,1,2,3,2,2,3,3,3,3,3,5,3,3,3,3,2,1
45,1,2,5,4,2,2,4,3,3,3,4,2,1,5,1,2,1
46,1,1,2,1,1,1,1,2,3,1,3,1,3,4,1,1,1
47,1,1,6,1,1,1,3,3,3,3,3,3,3,4,2,1,1
48,1,2,3,4,2,2,1,2,2,3,1,2,4,3,3,4,3
49,1,2,2,4,1,1,5,1,1,1,4,1,3,3,2,2,2
50,1,1,3,1,1,1,1,1,1,4,2,2,2,4,1,4,1
51,1,2,4,4,2,2,4,5,4,3,4,4,4,3,3,2,1
52,1,1,6,2,4,2,4,4,5,5,5,3,3,4,2,2,2
53,1,2,7,3,1,2,2,1,1,4,4,1,2,4,1,2,1
54,1,2,5,2,1,1,5,4,4,3,4,2,4,5,1,1,1
55,1,2,3,3,2,1,5,5,5,3,4,5,4,5,3,1,3
56,1,2,2,3,1,1,5,3,5,4,5,3,3,5,3,1,2
57,1,1,3,4,3,3,3,3,3,3,3,3,2,3,1,1,1
58,1,2,6,3,1,2,5,5,5,5,5,4,3,4,3,2,2
59,1,2,4,4,2,3,2,2,2,2,3,2,3,4,1,2,1
60,1,2,3,3,1,3,3,3,3,3,2,2,2,3,1,4,1
61,1,1,3,2,2,3,4,4,4,5,4,3,4,4,3,2,1
62,1,2,6,3,1,2,2,4,4,4,5,5,3,4,2,2,2
63,1,2,6,3,1,1,5,5,3,5,5,5,3,3,3,2,3
64,1,2,3,1,3,1,5,3,4,5,5,5,4,4,3,1,3
65,1,2,4,3,3,1,3,4,4,3,4,4,3,5,3,1,1
66,1,2,2,1,1,1,4,3,3,4,4,1,3,5,3,1,1
67,1,2,6,1,1,1,1,3,3,3,3,1,3,4,3,1,3
68,1,2,5,3,1,1,3,3,4,3,4,2,3,5,2,1,1
69,1,2,3,3,1,3,3,3,3,2,3,1,4,3,3,1,3
70,1,1,2,3,2,1,4,4,3,4,5,2,3,4,2,2,1
71,1,2,2,3,4,1,5,3,5,1,4,1,4,4,3,2,1
72,1,1,7,1,1,1,4,4,4,3,4,2,1,4,3,2,3
73,1,2,3,1,1,1,3,3,3,3,3,1,3,4,2,1,3
74,1,1,3,1,2,2,3,3,3,4,4,1,3,4,2,1,1
75,1,2,5,4,1,1,1,1,1,4,4,1,3,5,3,2,3
76,1,2,2,3,2,3,3,4,4,4,4,4,2,4,2,2,2
77,1,1,2,1,2,1,4,3,4,2,4,3,4,4,3,1,1
78,1,2,5,4,2,3,4,3,4,1,2,2,3,5,3,4,1
79,1,2,2,1,2,2,3,3,3,2,5,2,3,5,3,2,1
80,1,2,2,4,1,1,5,5,3,1,2,5,3,4,3,4,1
81,1,2,4,4,1,1,3,4,3,4,4,4,2,3,2,1,1
82,1,2,3,4,5,5,5,4,5,3,5,2,3,4,2,2,1
83,1,1,2,1,3,4,4,4,4,3,4,4,2,4,3,1,1
84,1,2,2,3,2,4,5,4,4,3,4,2,3,4,3,2,1
85,1,1,2,3,1,1,1,5,3,4,4,3,2,5,3,2,1
86,1,1,3,1,2,4,2,4,4,4,4,3,3,5,3,1,3
87,1,2,3,4,4,5,3,4,3,5,5,3,3,4,2,2,2
88,1,2,3,1,1,1,4,4,4,3,5,3,3,5,3,1,1
89,1,1,2,1,2,3,3,3,4,1,1,3,4,3,2,2,3
90,1,2,3,2,2,1,4,5,5,5,5,2,2,3,3,2,1
91,1,2,2,1,4,3,5,5,5,4,5,5,2,4,2,2,1
92,1,2,6,1,1,3,3,4,3,3,3,2,2,4,1,1,1
93,1,2,5,1,2,3,4,3,3,3,3,3,4,4,2,1,1
94,1,1,4,4,1,2,3,3,3,3,4,3,3,4,2,2,1
95,1,2,2,4,1,4,4,4,4,2,3,2,3,3,2,2,1
96,1,1,3,4,4,4,4,4,4,1,4,4,4,3,3,2,3
97,1,2,7,1,1,2,3,3,3,3,3,3,3,4,2,2,1
98,1,1,6,3,2,1,4,3,3,1,3,3,3,3,2,2,1
99,1,1,7,3,1,1,3,3,2,1,4,1,3,4,3,2,3
100,1,1,3,2,1,1,5,5,5,3,3,1,3,5,1,2,2
101,1,1,3,4,1,5,2,3,2,3,4,4,2,4,1,2,1
102,1,2,3,4,2,3,5,5,5,5,5,4,3,1,2,1,1
103,1,1,4,1,1,1,4,4,2,1,2,3,3,4,2,2,1
104,1,2,4,1,1,2,3,2,2,3,4,2,3,4,1,1,1
105,1,1,1,1,2,2,4,4,2,4,4,2,4,4,2,1,3
106,1,2,4,3,1,1,3,4,5,4,3,2,2,4,2,1,1
107,1,1,4,2,2,2,3,3,4,4,4,3,2,5,2,2,2
108,1,2,2,1,1,1,1,4,2,2,3,2,3,5,3,1,1
109,1,1,4,2,1,1,1,5,5,3,5,1,3,3,2,2,1
110,1,2,3,4,1,1,1,2,2,2,2,2,1,4,3,2,3
111,1,2,4,3,1,2,4,4,3,2,4,3,3,4,3,2,2
